Korean,English
것,thing
하다,do
있다 ,there is
있다 (보조동사),there is (axillary)
되다,become
수,number
하다,do
나,me
그,that
없다,does not exist
않다,not
사람,person
우리,we
이,this
그,that
아니다,no
보다,see
등,etc.
때,at the time
거,thing
보다,see
같다,same
주다,give
대하다,treat
가다,go
년,year
한,one
말,word
일,Day
이,this
때문,because
말하다,say
위하다,for
그러나,however
오다,come
알다,know
씨,Seed
그렇다,Yes
크다,big
또,also
일,Day
사회,society
많다,many
안,not
좋다,good night
더,more
받다,receive
그것,that
집,house
나오다,come out
따르다,follow
그리고,and
문제,problem
그런,that
살다,live
저,I
못하다,Can not do it
생각하다,Think
모르다,don't know
속,inside
만들다,make
데,place
두,two
앞,front
경우,case
중,middle
어떤,which
잘,well
그녀,she
먹다,eat
오다,come
자신,Myself
문화,culture
원,one
생각,thought
어떻다,how
명,number of people
통하다,pass
그러다,Then
소리,sound
다시,again
다른,different
이런,this
여자,female
개,dog
정도,degree
뒤,back
듣다,listen
다,all
좀,a little
들다,Hold
싶다,want
보이다,show
가지다,have
함께,together
아이,kid
지나다,pass by
많이,many
시간,hour
너,you
주다,give
인간,human
사실,actually
나다,grow
이렇다,Like this
어머니,mother
눈,eye
뭐,what
점,dot
의하다,be due to
시대,era
다음,next
이러하다,Do this
누구,who
전,jeon
곳,place
여러,several
안,not
하나,one
세계,world
버리다,throw away
위,stomach
운동,work out
퍼센트,percent
학교,school
자기,self
가장,most
대통령,president
가지,egg plant
들다,Hold
시작하다,start
바로,as soon as
어느,any
그래서,so
무엇,what
정부,government
모든,every
번,th
그거,that
돈,money
국가,nation
그런데,however
날,me
여기,here
모두,every
여성,female
친구,friend
마음,mind
후,after
가다,go
놓다,put
관계,relationship
아버지,father
남자,man
어디,where
몸,body
얼굴,face
들어가다,enter
왜,why
나타나다,appear
말다,roll
지역,region
다르다,different
모습,figure
물,water
만나다,meet
내다,Pay
보이다,show
쓰다,write
이것,this
없이,without
이번,this time
길,road
생활,life
쓰다,write
지금,now
뿐,only
사이,between
방법,method
새롭다,new
우리나라,our country
내다,Pay
앉다,Sit
처음,first
손,hand
몇,some
그때,at that time
과정,procedure
삶,Life
갖다,have
찾다,find
특히,especially
시,city
이상,more
지금,now
나가다,go out
이야기,story
교육,education
사다,buy
경제,economy
아직,yet
잡다,Catch
같이,together
선생님,teacher
예술,art
서다,stand
못,pond
역사,history
읽다,read
이제,now
결과,result
내용,detail
물론,of course
동안,during
책,book
일어나다,wake up
당신,you
시장,market
넣다,Insert
중요하다,It is important
무슨,what
느끼다,feel
어렵다,difficult
힘,strength
너무,too
나라,country
부르다,call
의미,meaning
자리,seat
밝히다,clarify
죽다,die
이미,already
쪽,side
정치,politics
국민,nation
생명,life
얘기,talk
학생,student
연구,research
엄마,mom
이름,name
하나,one
내리다,get off
사건,Event
및,and
쉽다,easy
짓다,build
또한,also
이유,reason
또는,or
필요하다,need
글,writing
생기다,to happen
사용하다,use
남편,husband
들어오다,come in
밖,Outside
세상,world
작다,small
타다,ride
대학,university
작품,Work
상황,situation
가운데,middle
보내다,let go
두다,put
즉,in other words
따라서,thus
상태,situation
이후,after
당시,at that time
문학,literature
더욱,More
아주,very
지방,province
밤,night
높다,high
최근,recent
채,stick
현실,reality
환경,environment
컴퓨터,computer
먼저,first
다니다,go
얼마나,how much
자체,itself
열다,open
머리,head
묻다,ask
남다,left
부분,part time job
기업,Enterprise
거기,there
변화,change
아들,son
뜻,meaning
아,ah
기다리다,wait
떨어지다,get off
선거,election
관하다,Tear
그냥,just
나누다,divide
이용하다,use
거의,almost
곧,soon
중심,center
활동,activity
오늘,today
서로,each other
관심,interest
역시,also
이거,this
애,baby
광고,advertisement
나다,grow
방,room
정신,mental
이르다,early
땅,earth
이루다,accomplished
아침,morning
웃다,laugh
현상,phenomenon
두다,put
떠나다,leave
기술,technology
전체,entire
그래,okay
얻다,get
분,minute
아름답다,beautiful
끝,end
민족,people
간,liver
조사,inspection
듯,As if
입,mouth
뭐,what
그대로,as it is
영화,movie
필요,necessary
줄,line
하늘,sky
년대,In the year
과학,science
듯하다,look like
자연,nature
정말,really
구조,structure
결국,at last
밥,rice
입다,put on
오히려,rather
프로그램,program
네,yes
이루어지다,come true
남,other
하루,day
그림,painting
적,enemy
터,place
마시다,drink
치다,hit
혼자,alone
나가다,go out
이제,now
교수,professor
술,alcohol
사랑,love
의식,Consciousness
전화,phone call
끝나다,end
돌아오다,Come back
맞다,right
아빠,dad
걸리다,hang
지키다,protect
한번,once
커피,coffee
가슴,chest
길다,long
바라보다,Look at
알아보다,Inquire
회사,company
맛,taste
대부분,mostly
산업,industry
매우,very
오르다,climb
음식,food
표정,expression
꼭,please
일부,part
요즘,recently
계획,plan
느낌,feeling
얼마,how much
고개,head
성격,personality
계속,continue
세기,century
세우다,set up
아내,wife
가족,family
현재,today
세,count
놓다,put
발전,Development
차,car
놀다,play
향하다,lean towards
관련,related
형태,form
각,each
도시,city
작업,work
분위기,atmosphere
그러하다,It is true
자기,self
나이,age
우선,first of all
믿다,trust
바꾸다,change
낳다,give birth
바,bar
정보,information
열리다,open
좋아하다,like
그리다,draw
만큼,as much as
배우다,learn
시,city
역할,role
옆,side
행동,action
어,uh
국내,domestic
비하다,Compare
기관,Agency
입장,Entrance
만하다,be worth
예,yes
아래,under
방식,method
영향,effect
그럼,then
나서다,launch
흐르다,flow
저,I
깊다,deep
배,ship
내,my
모양,shape
산,mountain
새,bird
하지만,but
조건,condition
문,door
꽃,flower
단계,step
올리다,raise
그동안,Meantime
교사,teacher
갑자기,suddenly
넘다,exceed
지니다,carry
바람,wind
잘하다,Do well
마을,Town
어리다,young
대표,representative
가능성,Possibility
방향,direction
대회,Competition
목소리,voice
노래,sing
바다,ocean
힘들다,it's tough
공부,study
움직이다,Move
의원,lawmaker
노력,effort
못하다,Can not do it
전혀,at all
언니,sister
단체,organization
분,minute
알려지다,known
가능하다,possible
능력,ability
주장하다,Claim
자식,child
돌리다,turn
불,fire
주민,citizen
모으다,collect
자료,data
존재,existence
학년,grade
신문,newspaper
가지다,have
이해하다,understand
제품,product
분야,Field
선생,teacher
돌아가다,return
사업,business
행위,Act
수준,level
지난해,Last year
표현,expression
기분,mood
대,big
젊다,young
동시,The same time
옷,clothes
기능,function
순간,Moment
전쟁,War
전,jeon
꿈,dream
할머니,grandma
회의,meeting
방송,broadcast
이야기하다,Talk
나무,tree
자다,sleep
연극,theater
오늘,today
마찬가지,same here
걷다,walk
노동,labor
이때,At this time
과거,past
가치,value
시간,hour
집단,group
현대,hyundai
살펴보다,Look at
장관,Minister
차이,difference
풀다,solve
시절,days
물건,thing
직접,directly
개인,individual
근데,however
발,foot
작가,author
효과,effect
불교,buddhism
끌다,drag
대로,Road
빨리,hurry
시작되다,Start
둘,two
말다,roll
설명하다,explain
우주,universe
시기,period
마치,like
살,fat
생산,production
바라다,hope
강하다,strong
경험,experience
음악,music
최고,best
나타내다,Express
아프다,sick
적다,little
비,rain
고향,hometown
놀라다,surprised
다양하다,Varies
울다,cry
농민,Peasant
드러나다,emerge
은행,bank
지내다,stay
결혼,marriage
동생,Brother
법,law
소설,novel
예,yes
오후,afternoon
질서,law
담다,Put
모이다,gather
시민,citizen
회장,Chairman
빠르다,fast
스스로,self
아기,baby
아저씨,mister
옛날,A long ago
이날,On this day
제대로,properly
달,moon
던지다,throw
참,really
공간,space
이곳,this place
딸,daughter
마지막,last
벌이다,Earn
병원,hospital
자세,posture
강조하다,Emphasize
경찰,police
맡다,take on
저녁,dinner
한편,Meanwhile
그러면,then
기자,reporter
넓다,wide
시험,test
잠,sleep
주로,mostly
훨씬,more
면,noodle
통일,unity
들어서다,Enter
건강,health
가깝다,close
건물,building
시설,facility
외국,foreign country
밑,bottom
어른,Adult
주변,around
대신,instead
원인,cause
팔다,sell
차례,order
군,army
열심히,try hard
일하다,work
재산,property
조금,little
팀,team
부모,parents
약간,a little
언어,language
요구하다,request
올라가다,Go up
첫,First
감독,director
그날,that day
사실,actually
자주,often
당하다,encounter
삼다,make
약,approximately
기간,period
담배,cigarette
일으키다,Raise
일단,first
할아버지,grandfather
조직,group
태어나다,bear
공장,factory
벌써,already
즐기다,enjoy
지,ji
환자,patient
변하다,change
사고,accident
그래도,still
아무리,no matter how
맞추다,set
쌀,rice
일반,common
재미있다,It is interesting
가르치다,teach
대화,conversation
막다,block
올해,this year
형,brother
달리,Different
버리다,throw away
붙이다,attach
인물,Character
늘,always
모두,every
전국,Nationwide
마치다,finish
전,jeon
다만,but
도움,help
가정,home
걸다,bet
빠지다,fall
멀다,far
버스,bus
오늘날,Today
잠시,for a moment
농업,Agriculture
대다,put
식,ceremony
의견,opinion
무대,stage
사진,picture
주장,opinion
표현하다,express
인하다,Take on
이상하다,weird
제일,most
붙다,pass
아마,maybe
얘기하다,talk
잇다,connect
조금,little
경기,game
목적,purpose
태도,attitude
남성,male
주위,around
대책,Measures
그만,stop
발생하다,to occur
다리,leg
아무,any
어쩌다,Anywhere
재료,ingredient
각각,each
결코,never
옮기다,move
항상,always
해,sun
잃다,lose
자유,freedom
책임,responsibility
바뀌다,change
비슷하다,similar
심하다,Severe
경쟁,compete
달러,dollar
사랑하다,Love
